"Date","Price","Open","High","Low","Vol.","Change %"
"09/16/2019","0.6200","0.6080","0.6300","0.6080","481.41K","1.97%"
"09/15/2019","0.6080","0.6080","0.6080","0.6080","","0.00%"
"09/14/2019","0.6080","0.6080","0.6080","0.6080","","0.00%"
"09/13/2019","0.6080","0.6003","0.6280","0.6003","163.15K","-0.30%"
"09/12/2019","0.6098","0.6200","0.6299","0.5942","258.35K","0.59%"
"09/11/2019","0.6062","0.6100","0.6228","0.5917","254.18K","-0.25%"
"09/10/2019","0.6077","0.5938","0.6197","0.5900","209.44K","2.36%"
"09/09/2019","0.5937","0.6300","0.6400","0.5902","450.77K","-5.46%"
"09/08/2019","0.6280","0.6280","0.6280","0.6280","","0.00%"
"09/07/2019","0.6280","0.6280","0.6280","0.6280","","0.02%"
"09/06/2019","0.6279","0.5810","0.6500","0.5800","783.20K","7.10%"
"09/05/2019","0.5863","0.6100","0.6249","0.5800","282.18K","-2.87%"
"09/04/2019","0.6036","0.6300","0.6300","0.5908","335.47K","-2.20%"
"09/03/2019","0.6172","0.6100","0.6357","0.6000","1.26M","4.08%"
"09/02/2019","0.5930","0.5930","0.5930","0.5930","","0.00%"
"09/01/2019","0.5930","0.5930","0.5930","0.5930","","0.00%"
"08/31/2019","0.5930","0.5930","0.5930","0.5930","","0.08%"
"08/30/2019","0.5925","0.5500","0.6000","0.5480","424.23K","8.12%"
"08/29/2019","0.5480","0.5491","0.5749","0.5450","246.17K","-0.18%"
"08/28/2019","0.5490","0.5500","0.5500","0.5318","350.86K","1.14%"
"08/27/2019","0.5428","0.5400","0.5600","0.5400","306.39K","-2.55%"
"08/26/2019","0.5570","0.5460","0.5804","0.5460","179.12K","1.98%"
"08/23/2019","0.5462","0.5500","0.5718","0.5427","385.62K","-2.97%"
"08/22/2019","0.5629","0.5990","0.5990","0.5619","167.53K","-2.61%"
"08/21/2019","0.5780","0.5818","0.5990","0.5690","214.84K","-1.48%"
"08/20/2019","0.5867","0.5500","0.5943","0.5500","514.48K","5.62%"
"08/19/2019","0.5555","0.5300","0.5562","0.5300","500.06K","3.12%"
"08/16/2019","0.5387","0.5500","0.5555","0.5305","221.53K","-0.24%"
"08/15/2019","0.5400","0.5500","0.5500","0.5315","431.15K","-3.57%"
"08/14/2019","0.5600","0.5625","0.5625","0.5312","700.58K","0.90%"
"08/13/2019","0.5550","0.5500","0.5593","0.5329","471.86K","0.71%"
"08/12/2019","0.5511","0.5594","0.5700","0.5400","262.63K","-0.07%"
"08/09/2019","0.5515","0.5700","0.5800","0.5500","501.25K","-1.96%"
"08/08/2019","0.5625","0.5599","0.5700","0.5459","355.15K","0.46%"
"08/07/2019","0.5599","0.5400","0.5600","0.5380","409.92K","0.67%"
"08/06/2019","0.5562","0.6000","0.6000","0.5475","676.35K","-7.76%"
"08/05/2019","0.6030","0.5900","0.6395","0.5026","2.02M","1.89%"
"08/02/2019","0.5918","0.5740","0.5951","0.5700","466.72K","2.25%"
"08/01/2019","0.5788","0.5911","0.6068","0.5650","750.09K","-2.41%"
"07/31/2019","0.5931","0.5700","0.5970","0.5611","1.36M","4.99%"
"07/30/2019","0.5649","0.6100","0.6100","0.5649","899.36K","-4.95%"
"07/29/2019","0.5943","0.6000","0.6200","0.5840","742.38K","-0.78%"
"07/27/2019","0.5990","0.5990","0.5990","0.5990","","-0.07%"
"07/26/2019","0.5994","0.5290","0.6260","0.5250","2.07M","7.02%"
"07/25/2019","0.5601","0.6100","0.6100","0.5500","926.50K","-1.74%"
"07/24/2019","0.5700","0.6000","0.6050","0.5700","674.13K","-2.31%"
"07/23/2019","0.5835","0.6100","0.6100","0.5490","1.72M","-4.34%"
"07/22/2019","0.6100","0.6300","0.6400","0.6000","1.35M","-2.87%"
"07/21/2019","0.6280","0.6280","0.6280","0.6280","","0.06%"
"07/19/2019","0.6276","0.6200","0.6423","0.6002","1.13M","1.14%"
"07/18/2019","0.6205","0.6500","0.6500","0.6100","1.11M","-4.48%"
"07/17/2019","0.6496","0.7000","0.7000","0.6400","1.55M","-1.41%"
"07/16/2019","0.6589","0.6400","0.6939","0.6299","2.18M","5.07%"
"07/15/2019","0.6271","0.7000","0.7000","0.6200","4.25M","1.97%"
"07/12/2019","0.6150","0.9700","0.9700","0.5756","13.33M","-33.87%"
"07/11/2019","0.9300","0.9600","0.9600","0.9200","861.81K","-1.01%"
"07/10/2019","0.9395","0.9900","0.9900","0.9300","844.01K","-2.85%"
"07/09/2019","0.9671","0.9500","0.9900","0.9301","1.11M","1.80%"
"07/08/2019","0.9500","0.9489","0.9500","0.9279","295.26K","1.60%"
"07/05/2019","0.9350","0.9500","0.9500","0.8100","606.07K","3.30%"
